market_segment,count,mean,cancellation_percentage
Aviation,237,0.21940928270042195,21.940928270042196
Complementary,743,0.13055181695827725,13.055181695827725
Corporate,5295,0.1873465533522191,18.73465533522191
Direct,12606,0.15341900682214818,15.341900682214819
Groups,19811,0.6106203624249155,61.062036242491544
Offline TA/TO,24219,0.34316032866757507,34.31603286675751
Online TA,56477,0.3672114312020823,36.721143120208225
Undefined,2,1.0,100.0
