customer_type,count,mean,cancellation_percentage
Contract,4076,0.3096172718351325,30.96172718351325
Group,577,0.1022530329289428,10.22530329289428
Transient,89613,0.4074632028835102,40.746320288351015
Transient-Party,25124,0.2542986785543703,25.42986785543703
